,precision,recall,f1-score,support
basophil,0.7213114754098361,0.7213114754098361,0.7213114754098362,244.0
eosinophil,0.9565217391304348,0.9519230769230769,0.9542168674698795,624.0
erythroblast,0.8900343642611683,0.8327974276527331,0.8604651162790699,311.0
"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",0.6983333333333334,0.7236614853195165,0.710771840542833,579.0
lymphocyte,0.8053435114503816,0.8683127572016461,0.8356435643564356,243.0
monocyte,0.7540322580645161,0.6584507042253521,0.7030075187969924,284.0
neutrophil,0.9199417758369723,0.948948948948949,0.934220251293422,666.0
platelet,0.9957264957264957,0.9914893617021276,0.9936034115138592,470.0
accuracy,0.8605670856474715,0.8605670856474715,0.8605670856474715,0.8605670856474715
macro avg,0.8426556191516423,0.8371119046729047,0.839155005707791,3421.0
weighted avg,0.8607195448039334,0.8605670856474715,0.86012063267705,3421.0
