,precision,recall,f1-score,support
basophil,0.6336206896551724,0.6024590163934426,0.6176470588235294,244.0
eosinophil,0.9653465346534653,0.9375,0.951219512195122,624.0
erythroblast,0.7517006802721088,0.7106109324758842,0.7305785123966944,311.0
"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",0.5964653902798233,0.6994818652849741,0.643879173290938,579.0
lymphocyte,0.8411214953271028,0.7407407407407407,0.7877461706783369,243.0
monocyte,0.6738197424892703,0.5528169014084507,0.6073500967117988,284.0
neutrophil,0.8601997146932953,0.9054054054054054,0.8822238478419897,666.0
platelet,0.9761904761904762,0.9595744680851064,0.9678111587982833,470.0
accuracy,0.8035662087109032,0.8035662087109032,0.8035662087109032,0.8035662087109032
macro avg,0.7873080904450893,0.7635736662242505,0.7735569413420866,3421.0
weighted avg,0.8078257592700863,0.8035662087109032,0.8040411841252462,3421.0
